Date,Adj Close,Close,High,Low,Open,Volume
2018-01-02,112.88255310058594,139.22999572753906,139.9499969482422,138.72000122070312,139.66000366210938,6842100
2018-01-03,113.96087646484375,140.55999755859375,140.67999267578125,138.89999389648438,139.36000061035156,5350500
2018-01-04,113.95276641845703,140.5500030517578,141.13999938964844,140.22000122070312,140.4499969482422,4837600
2018-01-05,114.89324951171875,141.7100067138672,141.82000732421875,140.27999877929688,140.69000244140625,6158800
2018-01-08,115.03919219970703,141.88999938964844,142.0,140.9199981689453,141.6999969482422,5129800
2018-01-09,116.86338806152344,144.13999938964844,145.67999267578125,142.25999450683594,142.3699951171875,8897000
2018-01-10,116.7255630493164,143.97000122070312,144.16000366210938,143.32000732421875,143.5500030517578,6558600
2018-01-11,117.39038848876953,144.7899932861328,144.89999389648438,143.69000244140625,144.1300048828125,4962200
2018-01-12,118.17682647705078,145.75999450683594,146.4199981689453,144.89999389648438,144.99000549316406,5450600
2018-01-16,119.0687026977539,146.86000061035156,148.05999755859375,146.02999877929688,146.4199981689453,8804000
2018-01-17,119.16594696044922,146.97999572753906,148.32000732421875,145.47999572753906,147.83999633789062,10619700
2018-01-18,119.11730194091797,146.9199981689453,147.44000244140625,145.97000122070312,146.92999267578125,5554800
2018-01-19,119.47406005859375,147.36000061035156,147.64999389648438,146.4199981689453,147.4600067138672,8738800
2018-01-22,120.10645294189453,148.13999938964844,148.13999938964844,146.72000122070312,147.00999450683594,7010400
2018-01-23,114.99051666259766,141.8300018310547,147.44000244140625,141.6199951171875,146.9600067138672,17473600
2018-01-24,115.18511199951172,142.07000732421875,143.55999755859375,141.8000030517578,143.5,13034400
2018-01-25,117.07420349121094,144.39999389648438,144.66000366210938,142.2100067138672,142.30999755859375,7938800
2018-01-26,117.8282470703125,145.3300018310547,145.60000610351562,144.1300048828125,144.5,8065600
2018-01-29,116.49044799804688,143.67999267578125,144.94000244140625,143.52999877929688,144.85000610351562,8013400
2018-01-30,115.47698211669922,142.42999267578125,143.82000732421875,142.42999267578125,143.39999389648438,8376100
